Year,Current Course,Technical Skill,Programming Languages,Rating,Soft Skills,Rating.1,Projects,Career,Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Score,Recommended Job
2.0nd,Data Analytics,Marketing Analytics,SQL/R/Google Analytics,3,Data Interpretation/Communication,4,Yes,Marketing Analyst,Campaign analysis,User behavior,Analytics platforms,15,8,7,16,14,17,15,7,99,Marketing Analytics Specialist
Final,Cybersecurity,Threat Intelligence,OSINT/Python/MISP,4,Analytical Thinking/Research,3,Yes,Threat Intelligence Analyst,Threat assessment,Intelligence gathering,Threat intelligence platforms,13,5,7,17,14,12,17,8,93,Cyber Threat Analyst
1.0st,IT Operations,IT Service Desk,Windows/Office/Ticketing,2,Communication/Problem-Solving,3,No,Service Desk Analyst,User support,Ticket management,Service management training,13,7,9,13,12,16,14,6,90,IT Support Specialist
3.0rd,Web Development,Full-stack JavaScript,JavaScript/Node.js/React,4,Creativity/Problem-Solving,4,Yes,Full-stack JavaScript Developer,Web application development,JavaScript ecosystem,JavaScript frameworks,13,8,7,16,15,14,15,5,93,JavaScript Developer
2.0nd,Cloud Computing,AWS Development,AWS/JavaScript/Python,3,System Thinking/Problem-Solving,3,Yes,AWS Developer,Cloud development,AWS services,AWS certification,11,6,7,16,14,12,15,5,86,Cloud Developer
4.0th,DevOps,Infrastructure Automation,Python/Ansible/AWS,4,System Thinking/Problem-Solving,3,Yes,Infrastructure Engineer,Infrastructure as code,Deployment automation,DevOps tools,10,5,7,17,14,12,15,6,86,Infrastructure Engineer
1.0st,Information Systems,Business Applications,Excel/SQL/Power Apps,2,Business Acumen/Problem-Solving,3,No,Business Applications Analyst,Business requirements,Application configuration,Business systems training,14,7,8,14,13,15,15,6,92,Business Systems Specialist
3.0rd,Cybersecurity,Security Analysis,Python/SIEM/Splunk,4,Analytical Thinking/Security Mindset,3,Yes,Security Analyst,Threat detection,Security monitoring,Security operations center,11,5,7,17,13,11,16,6,86,Security Operations Analyst
2.0nd,UI Development,Frontend Frameworks,JavaScript/React/Angular,3,Creativity/Problem-Solving,4,Yes,UI Developer,Component development,Frontend architecture,JavaScript frameworks,13,9,8,16,17,14,15,6,98,Frontend Engineer
Final,Data Leadership,Data Strategy,Business/Technical/Analytics,5,Vision/Leadership,5,Yes,Chief Data Officer,Data governance,Analytics strategy,Executive leadership,17,8,9,17,15,18,18,8,110,Data Director
1.0st,Software Engineering,Version Control,Git/GitHub/GitLab,2,Organization/Teamwork,3,No,Junior Developer,Code management,Repository organization,Version control training,12,6,7,15,13,12,14,5,84,Junior Software Developer
3.0rd,Cloud Architecture,Hybrid Cloud,AWS/Azure/On-premise,4,System Thinking/Problem-Solving,4,Yes,Hybrid Cloud Architect,Hybrid integration,Cloud migration,Multi-cloud certifications,11,6,8,17,14,13,16,5,90,Hybrid Cloud Specialist
2.0nd,Digital Analytics,Web Analytics,JavaScript/Google Analytics/SQL,3,Data Interpretation/Communication,4,Yes,Web Analyst,User behavior analysis,Conversion optimization,Analytics tools,14,7,8,16,15,16,15,6,97,Digital Analytics Specialist
4.0th,AI Engineering,Machine Learning Engineering,Python/TensorFlow/MLOps,5,System Thinking/Problem-Solving,4,Yes,ML Engineer,Model deployment,ML pipelines,ML infrastructure,10,6,7,18,15,11,16,7,90,Machine Learning Engineer
1.0st,IT Security,Security Basics,Windows/Linux/Security Tools,2,Security Mindset/Attention to Detail,3,No,Junior Security Analyst,Security monitoring,Alert triage,Security fundamentals,11,5,7,15,13,12,15,6,84,Security Analyst
3.0rd,Backend Development,API Architecture,Java/Spring/Microservices,4,System Thinking/Problem-Solving,3,Yes,Backend Engineer,API design,Service architecture,Backend frameworks,12,6,7,17,14,12,16,5,89,Backend Architect
2.0nd,Business Intelligence,Data Modeling,SQL/SSAS/PowerBI,3,Analytical Thinking/Data Visualization,4,Yes,BI Analyst,Dimensional modeling,Report development,BI platforms,13,7,8,16,14,15,16,6,95,Business Intelligence Developer
Final,Cybersecurity Leadership,Security Management,Security/Risk/Management,4,Leadership/Security Vision,5,Yes,CISO,Security strategy,Risk management,Executive security training,16,6,8,17,14,17,18,7,103,Security Director
1.0st,Computer Science,Basic Algorithms,Java/Python/C++,2,Problem-Solving/Logical Thinking,3,No,Programming Intern,Algorithm implementation,Code efficiency,Algorithm mentorship,11,6,7,16,13,10,14,5,82,Junior Developer
3.0rd,DevOps,Continuous Integration,Jenkins/Git/Docker,4,System Thinking/Automation,3,Yes,CI Engineer,Pipeline automation,Build optimization,CI/CD tools,10,5,7,17,14,12,15,6,86,CI/CD Specialist
2.0nd,User Experience,User Research,Figma/UserTesting/Statistics,3,Empathy/Research,5,Yes,UX Researcher,User studies,Usability testing,User research tools,16,10,8,14,15,18,16,7,104,User Researcher
4.0th,Software Engineering,Distributed Systems,Java/Kafka/Cassandra,5,System Thinking/Problem-Solving,3,Yes,Distributed Systems Engineer,Distributed architecture,System scalability,Distributed computing resources,11,6,7,18,15,12,16,5,90,Distributed Systems Specialist
1.0st,IT,Hardware Maintenance,PC/Networking/Windows,2,Troubleshooting/Organization,3,No,Hardware Technician,Hardware repair,Component installation,Hardware training,9,6,12,14,13,11,13,7,85,IT Support Specialist
3.0rd,Network Engineering,SDN Technologies,Python/Cisco/SDN Controllers,4,Innovation/System Thinking,3,Yes,SDN Engineer,Network automation,Software-defined networking,SDN platforms,10,5,8,17,14,12,15,6,87,Network Automation Engineer
2.0nd,Data Science,Predictive Analytics,Python/R/SQL,3,Analytical Thinking/Problem-Solving,4,Yes,Predictive Analyst,Forecasting models,Regression analysis,Statistics software,12,6,7,17,14,13,16,6,91,Predictive Analytics Specialist
Final,Software Management,Engineering Leadership,Technical/Management/Strategy,4,Leadership/Vision,5,Yes,VP of Engineering,Engineering strategy,Team leadership,Executive leadership training,16,7,8,16,14,18,17,6,102,Engineering Director
1.0st,Web Development,CSS Frameworks,HTML/CSS/Bootstrap,2,Creativity/Attention to Detail,3,Yes,Junior Frontend Developer,Responsive design,UI components,Frontend mentorship,13,9,8,14,16,13,14,6,93,Junior UI Developer
3.0rd,Embedded Systems,Firmware Development,C/C++/Assembly,4,Low-level Thinking/Problem-Solving,3,Yes,Firmware Engineer,Hardware interfaces,Resource optimization,Embedded hardware,9,6,10,18,15,10,15,7,90,Embedded Firmware Developer
2.0nd,IT Security,Vulnerability Assessment,Kali Linux/OWASP/Nessus,3,Security Mindset/Analytical Thinking,3,Yes,Vulnerability Analyst,Vulnerability scanning,Risk assessment,Security testing tools,11,5,8,16,13,12,16,6,87,Vulnerability Management Specialist
4.0th,Data Engineering,Big Data Technologies,Hadoop/Spark/Kafka,4,System Thinking/Problem-Solving,3,Yes,Big Data Engineer,Data processing,Data pipeline architecture,Big data tools,10,5,7,17,14,11,15,6,85,Big Data Specialist
1.0st,Information Systems,Business Intelligence,Excel/SQL/PowerBI,2,Data Interpretation/Communication,3,No,BI Reporting Analyst,Report generation,Data visualization,BI tools training,13,7,8,15,14,15,14,6,92,Junior Business Intelligence Analyst
3.0rd,Mobile Development,Cross-Platform Apps,React Native/Flutter/JavaScript,4,User Experience/Problem-Solving,4,Yes,Cross-Platform Developer,Mobile app development,Platform integration,Mobile development tools,13,9,8,16,16,14,15,6,97,Mobile App Developer
2.0nd,Cloud Security,Identity & Access Management,AWS IAM/Azure AD/SAML,3,Security Mindset/Attention to Detail,3,Yes,IAM Specialist,Access management,Identity federation,IAM certifications,11,5,7,16,13,12,16,6,86,Identity & Access Management Engineer
Final,Product Engineering,Technical Product Development,Engineering/Product/Strategy,4,Innovation/Leadership,5,Yes,VP of Product Engineering,Product roadmap,Engineering strategy,Product management,15,8,9,17,15,18,17,7,106,Chief Product Officer
1.0st,IT Operations,System Monitoring,Nagios/Grafana/Linux,2,Vigilance/Problem-Solving,3,No,Monitoring Technician,System alerts,Performance monitoring,Monitoring systems training,10,5,8,15,13,12,14,6,83,IT Operations Analyst
3.0rd,AR/VR Development,Virtual Reality,Unity/C#/3D Modeling,4,Creativity/Spatial Thinking,4,Yes,VR Developer,VR experiences,3D interaction,VR hardware,11,13,12,16,19,14,15,8,108,Virtual Reality Engineer
2.0nd,Database Performance,Database Optimization,SQL/Execution Plans/Indexes,3,Analytical Thinking/Problem-Solving,3,Yes,Database Optimization Specialist,Query tuning,Index optimization,Database engines,10,5,7,17,13,11,15,5,83,Database Performance Tuning Specialist
4.0th,AI Research,Generative Models,Python/PyTorch/TensorFlow,5,Research/Innovation,4,Yes,AI Research Scientist,Generative AI,Model architecture,GPU computing clusters,11,8,6,19,15,12,18,7,96,AI Researcher
1.0st,Software Testing,Test Planning,Test Plans/Excel/JIRA,2,Attention to Detail/Organization,3,No,Junior QA Tester,Test execution,Bug reporting,QA methodologies,12,6,8,14,13,13,15,6,87,QA Tester
3.0rd,Systems Programming,Linux Kernel Development,C/Linux/Git,5,Low-level Thinking/Problem-Solving,3,Yes,Kernel Developer,Kernel modules,Driver development,Linux development environment,9,5,7,19,14,10,16,7,87,Systems Programmer
2.0nd,Networking,Network Security,Cisco/Firewalls/IDS,3,Security Mindset/Analytical Thinking,3,Yes,Network Security Analyst,Security monitoring,Threat detection,Security appliances,10,5,8,16,13,12,16,6,86,Network Security Engineer
Final,IT Architecture,Enterprise Solutions,Architecture/Integration/Strategy,5,System Thinking/Vision,4,Yes,Enterprise Architect,Solution design,Technology standards,Architecture frameworks,14,7,8,17,15,16,17,6,100,Chief Enterprise Architect
1.0st,Computer Science,Software Development,Java/Python/Git,2,Problem-Solving/Teamwork,3,No,Junior Software Developer,Code implementation,Basic algorithms,Programming mentorship,12,6,7,15,13,12,14,5,84,Junior Developer
3.0rd,AI Development,Recommendation Systems,Python/TensorFlow/SQL,4,Analytical Thinking/User Empathy,3,Yes,Recommendation Engineer,Recommendation algorithms,User personalization,Machine learning tools,11,7,7,18,15,14,16,6,94,Recommendation Systems Specialist
2.0nd,Web Security,Web Application Security,JavaScript/OWASP/Burp Suite,3,Security Mindset/Attention to Detail,3,Yes,Web Security Analyst,Vulnerability assessment,Security testing,Web security tools,11,5,8,16,13,12,16,6,87,Web Security Engineer
4.0th,Machine Learning,Natural Language Processing,Python/NLTK/Transformers,5,Research/Analytical Thinking,4,Yes,NLP Engineer,Text processing,Language models,NLP frameworks,12,9,6,18,15,14,17,7,98,NLP Specialist
1.0st,IT Support,Desktop Support,Windows/Office/Active Directory,2,Communication/Problem-Solving,3,No,Desktop Support Technician,User support,Hardware troubleshooting,IT support training,12,6,10,14,12,15,13,7,89,IT Support Specialist
3.0rd,Game Development,Game Programming,C++/Unity/Unreal,4,Creativity/Problem-Solving,3,Yes,Game Programmer,Game mechanics,Performance optimization,Game engines,11,14,10,17,18,13,15,8,106,Game Developer
2.0nd,Data Warehousing,ETL Development,SQL/SSIS/Informatica,3,System Thinking/Attention to Detail,3,Yes,ETL Developer,Data integration,Transformation logic,ETL tools,11,5,7,16,13,12,15,6,85,Data Integration Specialist
Final,Technical Product Management,Product Leadership,Technical/Product/Business,4,Leadership/Vision,5,Yes,Chief Product Officer,Product strategy,Technical leadership,Executive product training,16,8,9,16,15,18,17,7,106,Product Executive
1.0st,Network Engineering,Network Installation,Cisco/Cabling/Switches,2,Attention to Detail/Problem-Solving,3,No,Network Installer,Network deployment,Physical installation,Networking hardware,8,5,11,14,13,11,13,6,81,Junior Network Engineer
3.0rd,IoT Security,Device Security,C/Linux/Security Protocols,4,Security Mindset/Low-level Thinking,3,Yes,IoT Security Engineer,Device hardening,Secure communication,IoT security testing,10,5,9,17,14,11,16,7,89,IoT Security Specialist
2.0nd,Software Engineering,Test-Driven Development,Java/JUnit/Mockito,3,Attention to Detail/Problem-Solving,3,Yes,Test Engineer,Test automation,Test coverage,Testing frameworks,12,6,7,16,13,13,15,5,87,Test Automation Engineer
4.0th,Cloud Engineering,Multi-Cloud Management,AWS/Azure/Terraform,4,System Thinking/Problem-Solving,3,Yes,Multi-Cloud Engineer,Cloud integration,Cloud governance,Multi-cloud certifications,11,5,7,17,14,13,15,6,88,Multi-Cloud Architect
1.0st,Computer Science,Programming Basics,Python/Java/C,2,Problem-Solving/Logical Thinking,3,No,Programming Assistant,Basic algorithms,Code implementation,Programming fundamentals,11,6,7,15,13,10,14,5,81,Junior Software Developer
3.0rd,Cybersecurity,Digital Forensics,EnCase/FTK/Python,4,Analytical Thinking/Attention to Detail,3,Yes,Digital Forensic Analyst,Evidence collection,Incident investigation,Forensic tools,12,5,8,17,14,12,17,6,91,Forensic Analyst
2.0nd,Web Development,JavaScript Frameworks,JavaScript/React/Vue,3,Creativity/Problem-Solving,4,Yes,Frontend Developer,Component development,User interfaces,JavaScript frameworks,13,9,8,16,16,14,15,6,97,JavaScript Developer
Final,Data Leadership,Analytics Leadership,Business/Analytics/Leadership,5,Vision/Communication,5,Yes,Analytics Director,Analytics strategy,Data-driven culture,Executive analytics training,16,7,8,17,15,18,17,7,105,Chief Analytics Officer
1.0st,IT Operations,Server Administration,Windows Server/Linux/PowerShell,2,Problem-Solving/Organization,3,No,Junior System Administrator,Server maintenance,User management,System administration training,10,5,8,15,13,11,14,6,82,Systems Administrator
3.0rd,Machine Learning,Computer Vision,Python/OpenCV/TensorFlow,4,Research/Analytical Thinking,3,Yes,Computer Vision Engineer,Image processing,Object detection,Computer vision tools,11,7,7,18,16,12,16,7,94,Computer Vision Specialist
2.0nd,Network Security,Security Monitoring,SIEM/IDS/Wireshark,3,Vigilance/Analytical Thinking,3,Yes,Security Monitoring Analyst,Threat detection,Alert triage,Security operations center,11,5,8,16,13,12,16,6,87,SOC Analyst
4.0th,Software Engineering,Microservices Architecture,Java/Spring Boot/Docker,4,System Thinking/Problem-Solving,3,Yes,Microservices Architect,Service design,System decomposition,Microservices frameworks,12,6,7,17,14,13,16,5,90,Microservices Engineer
1.0st,Business Technology,CRM Systems,Salesforce/Excel/SQL,2,Business Acumen/Organization,3,No,CRM Administrator,User management,Report generation,CRM training,13,7,8,14,13,15,15,6,91,CRM Specialist
3.0rd,Cloud Security,Container Security,Docker/Kubernetes/Security Tools,4,Security Mindset/System Thinking,3,Yes,Container Security Engineer,Container hardening,Kubernetes security,Container security tools,10,5,7,17,14,11,16,6,86,Container Security Specialist
2.0nd,Mobile Development,Android Development,Java/Kotlin/Android SDK,3,User Experience/Problem-Solving,4,Yes,Android Developer,Mobile app development,Android ecosystem,Android development tools,13,9,9,16,16,14,15,7,99,Android Engineer
Final,Security Leadership,Security Strategy,Security/Business/Leadership,5,Vision/Security Mindset,4,Yes,CISO,Security governance,Risk management,Executive security leadership,15,6,8,17,14,17,18,7,102,Chief Security Officer
1.0st,Data Science,Data Analysis,Excel/SQL/Python,2,Analytical Thinking/Communication,3,No,Junior Data Analyst,Data cleaning,Basic visualization,Data analysis training,12,6,7,16,13,13,15,6,88,Data Analyst
3.0rd,Frontend Development,Frontend Architecture,JavaScript/React/Redux,4,System Thinking/Creativity,4,Yes,Frontend Architect,Component architecture,State management,Frontend frameworks,13,8,7,16,16,14,15,5,94,Senior Frontend Developer
2.0nd,DevOps,Continuous Deployment,Jenkins/Docker/Kubernetes,3,System Thinking/Automation,3,Yes,CD Engineer,Deployment automation,Release management,CI/CD tools,10,5,7,16,14,12,15,6,85,Deployment Engineer
4.0th,Software Engineering,Platform Engineering,Java/Spring/AWS,4,System Thinking/Problem-Solving,4,Yes,Platform Engineer,Platform architecture,Developer experience,Platform tools,12,6,7,17,14,13,16,5,90,Platform Architect
1.0st,IT Security,Security Compliance,Excel/Word/Compliance Tools,2,Attention to Detail/Organization,3,No,Compliance Analyst,Policy checking,Documentation,Compliance frameworks,13,6,7,14,12,15,16,7,90,IT Compliance Specialist
3.0rd,Cloud Engineering,Kubernetes Administration,Docker/Kubernetes/Helm,4,System Thinking/Automation,3,Yes,Kubernetes Administrator,Cluster management,Container orchestration,Kubernetes certification,10,5,7,17,14,12,15,6,86,Kubernetes Engineer
2.0nd,Database Administration,Database Maintenance,SQL/Oracle/MySQL,3,Attention to Detail/Problem-Solving,3,Yes,Database Administrator,Backup management,Performance tuning,Database engines,10,5,7,16,13,11,15,5,82,Database Administrator
Final,IT Leadership,Technology Management,IT/Management/Strategy,4,Leadership/Communication,5,Yes,IT Director,IT strategy,Team leadership,Executive IT management,16,7,8,16,14,18,17,6,102,CIO
1.0st,Software Engineering,Agile Development,Java/Git/JIRA,2,Teamwork/Adaptability,3,No,Junior Developer,Code implementation,Sprint planning,Agile methodologies,12,6,7,15,13,13,14,5,85,Software Developer
3.0rd,Security Engineering,Application Security,Java/OWASP/Security Tools,4,Security Mindset/Problem-Solving,3,Yes,Application Security Engineer,Security testing,Secure coding,Security frameworks,11,5,7,17,14,12,16,6,88,Application Security Specialist
2.0nd,Business Intelligence,Data Visualization,PowerBI/Tableau/SQL,3,Data Interpretation/Creativity,4,Yes,BI Developer,Dashboard development,Data modeling,BI platforms,14,8,7,16,15,15,15,6,96,Data Visualization Specialist
4.0th,AI Engineering,Reinforcement Learning,Python/TensorFlow/Gym,5,Research/Analytical Thinking,3,Yes,RL Engineer,Agent training,Environment modeling,RL frameworks,10,6,7,18,15,11,17,7,91,Reinforcement Learning Specialist
1.0st,Network Administration,Network Configuration,Cisco/TCP-IP/Subnetting,2,Attention to Detail/Problem-Solving,3,No,Junior Network Administrator,Network setup,Configuration management,Networking fundamentals,9,5,8,15,13,11,14,6,81,Network Support Specialist
3.0rd,DevSecOps,Pipeline Security,Jenkins/Docker/Security Tools,4,Security Mindset/Automation,3,Yes,DevSecOps Engineer,Security automation,CI/CD security,Security tools integration,11,5,7,17,14,12,16,6,88,DevSecOps Specialist
2.0nd,Data Engineering,Data Pipelines,Python/Airflow/SQL,3,System Thinking/Problem-Solving,3,Yes,Data Pipeline Engineer,ETL development,Pipeline orchestration,Data engineering tools,11,5,7,17,14,12,15,6,87,ETL Developer
Final,Research & Development,Technology Innovation,Research/Technical/Strategy,5,Innovation/Vision,4,Yes,R&D Director,Technology research,Innovation strategy,Research leadership,15,9,8,18,16,16,17,8,107,Chief Innovation Officer
1.0st,Computer Science,Object-Oriented Programming,Java/C#/Python,2,Problem-Solving/Logical Thinking,3,No,Junior Programmer,Class design,Code implementation,OOP principles,11,6,7,16,13,11,14,5,83,Junior Developer
3.0rd,Quantum Computing,Quantum Algorithms,Python/Qiskit/Q#,5,Mathematical Thinking/Research,3,Yes,Quantum Developer,Quantum circuits,Algorithm optimization,Quantum simulators,10,8,6,19,15,11,17,7,93,Quantum Computing Engineer
2.0nd,IT Project Management,Agile Project Management,JIRA/Scrum/Agile,3,Leadership/Organization,4,Yes,Agile Project Manager,Sprint planning,Team coordination,Agile certification,15,7,8,14,12,17,16,6,95,Scrum Master
4.0th,Cybersecurity,Advanced Threat Defense,Security Tools/SIEM/Python,4,Security Mindset/Analytical Thinking,3,Yes,Advanced Threat Analyst,Threat hunting,Attack analysis,Threat intelligence platforms,12,5,8,17,14,12,17,7,92,Threat Hunter
1.0st,Web Development,Basic Web Development,HTML/CSS/JavaScript,2,Creativity/Problem-Solving,3,Yes,Junior Web Developer,Website creation,Responsive design,Web development training,13,8,7,14,15,13,14,6,90,Web Developer
3.0rd,Software Engineering,Service-Oriented Architecture,Java/REST/Microservices,4,System Thinking/Problem-Solving,3,Yes,SOA Engineer,Service design,API architecture,Integration patterns,12,6,7,17,14,12,16,5,89,Integration Architect
2.0nd,Database Development,Database Programming,SQL/PL-SQL/T-SQL,3,Logical Thinking/Problem-Solving,3,Yes,Database Developer,Stored procedures,Database functions,Database systems,11,5,7,17,13,11,15,5,84,Database Programmer
Final,Engineering Leadership,Technical Leadership,Technical/Management/Strategy,4,Leadership/Vision,5,Yes,CTO,Technology strategy,Engineering leadership,Executive technology training,16,7,8,17,15,18,17,7,105,Chief Technology Officer
1.0st,IT Support,Technical Support,Windows/Networking/Office,2,Communication/Problem-Solving,3,No,Technical Support Specialist,User assistance,Issue troubleshooting,Customer service training,12,6,9,14,12,15,13,6,87,IT Support Analyst
3.0rd,Cloud Architecture,Cloud Migration,AWS/Azure/Migration Tools,4,System Thinking/Problem-Solving,3,Yes,Cloud Migration Specialist,Migration planning,Workload optimization,Cloud platforms,11,5,7,17,14,13,15,6,88,Cloud Migration Architect
2.0nd,UX Design,User Interface Design,Figma/Sketch/HTML/CSS,3,Creativity/User Empathy,5,Yes,UI Designer,Interface design,Visual design,Design software,15,12,8,14,18,16,15,7,105,User Interface Designer
4.0th,Artificial Intelligence,AI Ethics & Governance,AI/Ethics/Policy,4,Ethics/Critical Thinking,5,Yes,AI Ethics Specialist,Ethical AI frameworks,Bias mitigation,AI governance standards,16,8,7,17,14,16,18,9,105,AI Ethics Officer
1.0st,Computer Networking,Network Installation,Cisco/Cabling/Networking,2,Attention to Detail/Hands-on,3,No,Network Installer,Physical networking,Cable management,Networking hardware,8,5,12,14,13,11,13,6,82,Network Technician
3.0rd,Software Engineering,Performance Engineering,Java/C++/Profiling Tools,4,Analytical Thinking/Problem-Solving,3,Yes,Performance Engineer,Code optimization,Performance testing,Profiling tools,11,6,7,18,14,11,16,5,88,Performance Optimization Engineer
2.0nd,Data Science,Machine Learning,Python/Scikit-learn/Pandas,3,Analytical Thinking/Problem-Solving,3,Yes,Machine Learning Analyst,Model development,Feature engineering,ML libraries,11,6,7,17,14,12,16,6,89,Machine Learning Developer
Final,Product Management,Technical Product Leadership,Technical/Product/Strategy,4,Vision/Communication,5,Yes,VP of Product,Product roadmap,Technical vision,Product leadership,16,8,9,16,15,18,17,7,106,Chief Product Officer
1.0st,Information Technology,IT Fundamentals,Windows/Office/Networking,2,Problem-Solving/Communication,3,No,IT Technician,Basic troubleshooting,User support,IT fundamentals,11,6,9,14,12,14,13,6,85,IT Support Technician

